Rank,Team,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Trevor Lawrence,JAC,24,32,75.0,262,8.2,2,0,1,5,17,2,0,1,32.2,32.2,30.9%,2023,QB,11
2,Brock Purdy,SF,21,25,84.0,333,13.3,3,0,4,4,14,0,0,1,26.7,26.7,79.2%,2023,QB,11
3,Justin Herbert,LAC,21,36,58.3,260,7.2,2,0,2,8,73,0,0,1,25.7,25.7,77.4%,2023,QB,11
4,Lamar Jackson,BAL,16,26,61.5,264,10.2,2,0,3,9,54,0,0,1,24.0,24.0,97.0%,2023,QB,11
5,Josh Allen,BUF,20,32,62.5,275,8.6,3,1,1,5,15,0,0,1,23.5,23.5,97.2%,2023,QB,11
6,Kyler Murray,ARI,20,30,66.7,214,7.1,1,1,3,7,51,1,0,1,22.7,22.7,84.0%,2023,QB,11
7,Tommy DeVito,NYG,18,26,69.2,246,9.5,3,0,9,1,7,0,0,1,22.5,22.5,2.0%,2023,QB,11
8,Justin Fields,PIT,16,23,69.6,169,7.3,1,0,2,18,104,0,0,1,21.2,21.2,20.2%,2023,QB,11
9,Jordan Love,GB,27,40,67.5,322,8.1,2,0,3,3,0,0,0,1,20.9,20.9,81.9%,2023,QB,11
10,Sam Howell,SEA,31,45,68.9,256,5.7,1,3,4,3,35,1,0,1,20.7,20.7,5.8%,2023,QB,11
11,Jalen Hurts,PHI,14,22,63.6,150,6.8,0,1,5,12,29,2,0,1,19.9,19.9,91.6%,2023,QB,11
12,Tua Tagovailoa,MIA,28,39,71.8,325,8.3,2,1,1,2,6,0,1,1,18.6,18.6,62.5%,2023,QB,11
13,C.J. Stroud,HOU,27,37,73.0,336,9.1,2,3,3,1,-1,0,0,1,18.3,18.3,79.4%,2023,QB,11
14,Patrick Mahomes II,KC,24,43,55.8,177,4.1,2,1,1,6,38,0,0,1,17.9,17.9,92.9%,2023,QB,11
15,Joshua Dobbs,SF,20,32,62.5,221,6.9,1,1,2,8,21,1,1,1,17.9,17.9,2.4%,2023,QB,11
16,Jared Goff,DET,23,35,65.7,236,6.7,2,3,2,2,3,0,0,1,16.7,16.7,83.6%,2023,QB,11
17,Dak Prescott,DAL,25,38,65.8,189,5.0,2,0,0,2,6,0,0,1,16.2,16.2,37.8%,2023,QB,11
18,Russell Wilson,PIT,27,35,77.1,259,7.4,1,0,2,2,1,0,0,1,14.5,14.5,48.0%,2023,QB,11
19,Geno Smith,SEA,22,34,64.7,233,6.9,1,0,2,1,-1,0,0,1,13.2,13.2,49.4%,2023,QB,11
20,Will Levis,TEN,13,17,76.5,158,9.3,2,0,2,4,2,0,1,1,12.5,12.5,21.1%,2023,QB,11
21,Aidan O'Connell,LV,24,41,58.5,271,6.6,1,3,2,1,3,0,0,1,12.1,12.1,8.0%,2023,QB,11
22,Baker Mayfield,TB,29,45,64.4,246,5.5,1,1,4,3,5,0,1,1,11.3,11.3,86.5%,2023,QB,11
23,Jake Browning,CIN,8,14,57.1,68,4.9,1,0,3,4,40,0,0,1,10.7,10.7,4.2%,2023,QB,11
24,Matthew Stafford,LAR,17,31,54.8,190,6.1,1,1,1,2,1,0,0,1,10.7,10.7,54.5%,2023,QB,11
25,Joe Burrow,CIN,11,17,64.7,101,5.9,1,0,2,1,7,0,0,1,8.7,8.7,92.1%,2023,QB,11
26,Zach Wilson,DEN,7,15,46.7,81,5.4,1,1,5,4,15,0,0,1,7.7,7.7,0.9%,2023,QB,11
27,Dorian Thompson-Robinson,CLE,24,43,55.8,165,3.8,0,1,1,3,20,0,0,1,7.6,7.6,1.1%,2023,QB,11
28,Bryce Young,CAR,16,29,55.2,123,4.2,1,1,7,2,3,0,1,1,6.2,6.2,28.7%,2023,QB,11
29,Kenny Pickett,PHI,15,28,53.6,106,3.8,0,0,3,4,9,0,0,1,5.1,5.1,4.2%,2023,QB,11
30,Tim Boyle,NYG,7,14,50.0,33,2.4,0,1,1,1,1,0,0,1,0.4,0.4,0.0%,2023,QB,11
31,Cooper Rush,DAL,2,3,66.7,15,5.0,0,0,0,3,-3,0,0,1,0.3,0.3,6.1%,2023,QB,11
32,Davis Mills,HOU,1,1,100.0,2,2.0,0,0,0,0,0,0,0,1,0.1,0.1,0.1%,2023,QB,11
33,C.J. Beathard,JAC,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,QB,11
34,Jacob Eason,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,QB,11
35,Kyle Allen,PIT,0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,1.3%,2023,QB,11
36,Drew Lock,NYG,2,6,33.3,3,0.5,0,1,0,0,0,0,0,1,-0.9,-0.9,4.4%,2023,QB,11
