Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
1,Derrick Henry,BAL,378,"2,027",5.4,94,16,17,19,31,114,6.0,0,2,16,314.1,19.6,97.5%,2020,RB,Full
2,Alvin Kamara,NO,187,932,5.0,49,7,16,83,107,756,9.1,5,0,15,294.8,19.7,87.9%,2020,RB,Full
3,Dalvin Cook,FA,312,"1,557",5.0,70,6,16,44,54,361,8.2,1,3,14,293.8,21.0,0.9%,2020,RB,Full
4,Jonathan Taylor,IND,232,"1,169",5.0,62,7,11,36,40,299,8.3,1,1,15,216.8,14.5,92.9%,2020,RB,Full
5,Aaron Jones Sr.,MIN,201,"1,104",5.5,77,6,9,47,63,355,7.6,2,0,14,211.9,15.1,91.4%,2020,RB,Full
6,David Montgomery,DET,247,"1,070",4.3,80,5,8,54,68,438,8.1,2,1,15,210.8,14.1,75.4%,2020,RB,Full
7,James Robinson,FA,240,"1,070",4.5,47,5,7,49,60,344,7.0,3,1,14,201.4,14.4,0.0%,2020,RB,Full
8,Josh Jacobs,GB,273,"1,065",3.9,28,3,12,33,45,238,7.2,0,2,15,198.3,13.2,96.3%,2020,RB,Full
9,Nick Chubb,CLE,190,"1,067",5.6,59,12,12,16,18,150,9.4,0,1,12,191.7,16.0,55.1%,2020,RB,Full
10,Kareem Hunt,KC,198,841,4.2,33,3,6,38,51,304,8.0,5,0,16,180.5,11.3,48.5%,2020,RB,Full
11,Ezekiel Elliott,FA,244,979,4.0,31,3,6,52,71,338,6.5,2,5,15,171.7,11.4,20.4%,2020,RB,Full
12,Kenyan Drake,FA,239,955,4.0,69,6,10,25,31,137,5.5,0,1,15,167.2,11.1,1.1%,2020,RB,Full
13,Melvin Gordon III,FA,215,986,4.6,65,5,9,32,44,158,4.9,1,4,15,166.4,11.1,0.1%,2020,RB,Full
14,Antonio Gibson,NE,170,795,4.7,40,5,11,36,44,247,6.9,0,2,14,166.2,11.9,22.5%,2020,RB,Full
15,Ronald Jones II,FA,192,978,5.1,98,6,7,28,42,165,5.9,1,2,14,158.3,11.3,0.0%,2020,RB,Full
16,Chris Carson,FA,141,681,4.8,29,3,5,37,46,287,7.8,4,0,12,150.8,12.6,0.3%,2020,RB,Full
17,J.K. Dobbins,LAC,134,805,6.0,72,8,9,18,24,120,6.7,0,0,15,150.5,10.0,74.2%,2020,RB,Full
18,Mike Davis,FA,165,642,3.9,25,2,6,59,70,373,6.3,2,1,15,147.5,9.8,1.0%,2020,RB,Full
19,David Johnson,FA,147,691,4.7,48,4,6,33,46,314,9.5,2,1,12,146.5,12.2,0.0%,2020,RB,Full
20,D'Andre Swift,CHI,114,521,4.6,54,1,8,46,57,357,7.8,2,2,13,143.8,11.1,83.1%,2020,RB,Full
21,Miles Sanders,CAR,164,867,5.3,82,4,6,28,52,197,7.0,0,2,12,142.4,11.9,5.1%,2020,RB,Full
22,Clyde Edwards-Helaire,NO,181,803,4.4,31,3,4,36,54,297,8.3,1,0,13,140.0,10.8,7.2%,2020,RB,Full
23,Todd Gurley II,FA,195,678,3.5,35,2,9,25,35,164,6.6,0,0,15,138.2,9.2,0.7%,2020,RB,Full
24,Nyheim Hines,FA,89,380,4.3,31,3,3,63,76,482,7.7,4,0,16,130.2,8.1,0.1%,2020,RB,Full
25,James Conner,ARI,169,721,4.3,59,5,6,35,43,215,6.1,0,0,13,129.6,10.0,82.6%,2020,RB,Full
26,Jeff Wilson Jr.,MIA,126,600,4.8,34,3,7,13,28,133,10.2,3,2,12,129.3,10.8,0.6%,2020,RB,Full
27,Myles Gaskin,FA,142,584,4.1,26,3,3,41,47,388,9.5,2,2,10,123.2,12.3,0.0%,2020,RB,Full
28,Gus Edwards,LAC,144,723,5.0,36,8,6,9,13,129,14.3,0,1,16,119.2,7.5,45.3%,2020,RB,Full
29,Wayne Gallman Jr.,FA,147,682,4.6,60,3,6,21,27,114,5.4,0,0,15,115.6,7.7,0.0%,2020,RB,Full
30,Chase Edmonds,TB,97,448,4.6,32,4,1,53,67,402,7.6,4,0,16,115.0,7.2,0.1%,2020,RB,Full
31,Darrell Henderson Jr.,FA,138,624,4.5,40,3,5,16,24,159,9.9,1,0,15,114.3,7.6,5.0%,2020,RB,Full
32,Latavius Murray,FA,146,656,4.5,36,3,4,23,26,176,7.7,1,0,15,113.2,7.5,0.0%,2020,RB,Full
33,Adrian Peterson,FA,156,604,3.9,38,4,7,12,18,101,8.4,0,0,16,112.5,7.0,2.0%,2020,RB,Full
34,J.D. McKissic,FA,85,365,4.3,17,0,1,80,110,589,7.4,2,1,16,111.4,7.0,1.0%,2020,RB,Full
35,Austin Ekeler,WAS,116,530,4.6,27,2,1,54,65,403,7.5,2,0,10,111.3,11.1,51.4%,2020,RB,Full
36,Giovani Bernard,FA,124,416,3.4,15,0,3,47,59,355,7.6,3,1,16,111.1,6.9,0.0%,2020,RB,Full
37,Devin Singletary,NYG,156,687,4.4,51,3,2,38,50,269,7.1,0,1,16,105.6,6.6,43.6%,2020,RB,Full
38,Jamaal Williams,FA,119,505,4.2,25,1,2,31,35,236,7.6,1,0,14,96.1,6.9,2.5%,2020,RB,Full
39,Leonard Fournette,FA,97,367,3.8,46,3,6,36,47,233,6.5,0,0,13,96.0,7.4,2.1%,2020,RB,Full
40,Jerick McKinnon,FA,81,319,3.9,55,1,5,33,46,253,7.7,1,0,16,93.2,5.8,0.0%,2020,RB,Full
41,Tony Pollard,TEN,101,435,4.3,42,4,4,28,40,193,6.9,1,0,16,92.8,5.8,80.4%,2020,RB,Full
42,Cam Akers,MIN,145,625,4.3,61,4,2,11,14,123,11.2,1,1,12,90.8,7.6,14.2%,2020,RB,Full
43,Zack Moss,CIN,112,481,4.3,31,4,4,14,18,95,6.8,1,0,13,87.6,6.7,33.5%,2020,RB,Full
44,Damien Harris,FA,137,691,5.0,41,4,2,5,7,52,10.4,0,0,10,86.3,8.6,9.0%,2020,RB,Full
45,Malcolm Brown,FA,101,419,4.1,19,0,5,23,33,162,7.0,0,1,16,86.1,5.4,0.0%,2020,RB,Full
46,Frank Gore,FA,187,653,3.5,17,0,2,16,19,89,5.6,0,1,15,84.2,5.6,8.4%,2020,RB,Full
47,Raheem Mostert,FA,104,521,5.0,80,2,2,16,19,156,9.8,1,1,8,83.7,10.5,42.9%,2020,RB,Full
48,Rex Burkhead,FA,67,274,4.1,18,0,3,25,33,192,7.7,3,0,10,82.6,8.3,10.0%,2020,RB,Full
49,Joe Mixon,HOU,119,428,3.6,34,3,3,21,26,138,6.6,1,1,6,78.6,13.1,93.9%,2020,RB,Full
50,Alexander Mattison,LV,96,434,4.5,25,4,2,13,15,125,9.6,1,0,13,73.9,5.7,44.8%,2020,RB,Full
51,Christian McCaffrey,SF,59,225,3.8,15,0,5,17,19,149,8.8,1,0,3,73.4,24.5,66.6%,2020,RB,Full
52,Boston Scott,FA,80,374,4.7,56,2,1,25,36,212,8.5,1,0,16,70.6,4.4,0.0%,2020,RB,Full
53,Brian Hill,FA,100,465,4.7,62,3,1,25,30,199,8.0,0,1,16,70.4,4.4,0.0%,2020,RB,Full
54,Carlos Hyde,FA,81,356,4.4,50,2,4,16,20,93,5.8,0,0,10,68.9,6.9,0.0%,2020,RB,Full
55,Devontae Booker,FA,93,423,4.5,43,4,3,17,21,84,4.9,0,0,16,68.7,4.3,0.0%,2020,RB,Full
56,Sony Michel,FA,79,449,5.7,48,4,1,7,9,114,16.3,1,0,9,68.3,7.6,0.0%,2020,RB,Full
57,James White,FA,35,121,3.5,10,0,2,49,62,375,7.7,1,0,14,67.6,4.8,0.1%,2020,RB,Full
58,Kalen Ballage,FA,91,303,3.3,17,0,3,29,37,166,5.7,0,0,11,64.9,5.9,0.0%,2020,RB,Full
59,Benny Snell Jr.,FA,111,368,3.3,30,3,4,10,14,61,6.1,0,1,16,64.9,4.1,0.0%,2020,RB,Full
60,Kyle Juszczyk,SF,17,64,3.8,10,0,2,19,29,202,10.6,4,0,16,62.6,3.9,1.2%,2020,RB,Full
61,Phillip Lindsay,FA,118,502,4.3,55,6,1,7,14,28,4.0,0,0,11,59.0,5.4,0.0%,2020,RB,Full
62,Le'Veon Bell,FA,82,328,4.0,16,0,2,16,20,138,8.6,0,0,11,58.6,5.3,0.2%,2020,RB,Full
63,Joshua Kelley,TEN,111,354,3.2,33,3,2,23,23,148,6.4,0,2,14,58.2,4.2,0.0%,2020,RB,Full
64,Salvon Ahmed,IND,75,319,4.3,31,1,3,11,14,61,5.5,0,0,6,58.0,9.7,0.0%,2020,RB,Full
65,Duke Johnson Jr.,FA,77,235,3.1,23,1,1,28,35,249,8.9,1,2,11,56.4,5.1,0.0%,2020,RB,Full
66,Samaje Perine,KC,63,301,4.8,46,1,3,11,12,66,6.0,0,0,16,54.7,3.4,4.2%,2020,RB,Full
67,Kerryon Johnson,FA,52,181,3.5,14,0,2,19,26,187,9.8,1,1,16,52.8,3.3,1.3%,2020,RB,Full
68,Peyton Barber,FA,94,258,2.7,15,0,4,4,7,12,3.0,0,0,16,51.0,3.2,1.0%,2020,RB,Full
69,Jordan Wilkins,FA,84,308,3.7,22,1,1,12,16,105,8.8,0,0,15,49.3,3.3,0.0%,2020,RB,Full
70,Ty Johnson,BUF,54,254,4.7,34,1,1,16,21,99,6.2,1,0,13,47.3,3.6,5.6%,2020,RB,Full
71,Mark Ingram II,FA,72,299,4.2,30,2,2,6,8,50,8.3,0,0,11,46.9,4.3,3.0%,2020,RB,Full
72,Justin Jackson,FA,59,270,4.6,36,3,0,19,24,173,9.1,0,0,9,46.3,5.1,0.0%,2020,RB,Full
73,La'Mical Perine,FA,64,232,3.6,20,1,2,11,15,63,5.7,0,0,10,41.5,4.2,0.0%,2020,RB,Full
74,Ito Smith,FA,63,268,4.3,24,1,1,17,26,75,4.4,0,0,14,40.3,2.9,1.0%,2020,RB,Full
75,DeeJay Dallas,ARI,34,108,3.2,13,0,2,17,20,111,6.5,1,0,12,39.9,3.3,0.3%,2020,RB,Full
76,AJ Dillon,GB,46,242,5.3,30,2,2,2,2,21,10.5,0,0,11,38.3,3.5,3.7%,2020,RB,Full
77,Dion Lewis,FA,29,115,4.0,19,0,2,19,30,127,6.7,1,2,16,38.2,2.4,2.0%,2020,RB,Full
78,Alfred Morris,FA,55,238,4.3,20,1,1,3,4,19,6.3,1,0,9,37.7,4.2,0.0%,2020,RB,Full
79,Darrel Williams,FA,39,169,4.3,13,0,1,18,26,116,6.4,0,0,16,36.5,2.3,0.0%,2020,RB,Full
80,Matt Breida,FA,59,254,4.3,24,1,0,9,10,96,10.7,0,1,12,33.0,2.8,0.0%,2020,RB,Full
81,Jalen Richard,FA,22,123,5.6,20,1,1,19,23,138,7.3,0,0,13,32.1,2.5,1.0%,2020,RB,Full
82,Jeremy McNichols,WAS,47,204,4.3,20,1,1,12,17,55,4.6,0,0,16,31.9,2.0,3.0%,2020,RB,Full
83,Josh Adams,FA,29,157,5.4,25,1,2,6,8,29,4.8,0,0,8,30.6,3.8,0.0%,2020,RB,Full
84,Jordan Howard,FA,35,60,1.7,11,0,4,1,1,-3,-3.0,0,0,7,29.7,4.2,0.0%,2020,RB,Full
85,Devonta Freeman,FA,54,172,3.2,14,0,1,7,10,58,8.3,0,0,5,29.0,5.8,0.0%,2020,RB,Full
86,Rodney Smith,FA,41,156,3.8,13,0,1,9,11,59,6.6,0,0,7,27.5,3.9,0.0%,2020,RB,Full
87,Darwin Thompson,FA,27,97,3.6,14,0,1,7,11,65,9.3,1,1,13,26.2,2.0,0.0%,2020,RB,Full
88,Royce Freeman,FA,35,170,4.9,23,2,0,12,13,81,6.8,0,0,16,25.1,1.6,0.0%,2020,RB,Full
89,JaMycal Hasty,NE,39,148,3.8,20,1,1,7,8,33,4.7,0,0,8,24.1,3.0,0.7%,2020,RB,Full
90,Travis Homer,CHI,25,88,3.5,12,0,0,9,10,90,10.0,1,0,9,23.8,2.6,1.3%,2020,RB,Full
91,Chris Thompson,FA,7,20,2.9,5,0,0,20,23,146,7.3,1,0,8,22.6,2.8,0.0%,2020,RB,Full
92,Ameer Abdullah,LV,8,42,5.3,13,0,0,8,9,58,7.3,2,0,16,22.0,1.4,25.1%,2020,RB,Full
93,Antonio Williams,FA,12,63,5.3,18,0,2,1,1,20,20.0,0,0,1,20.3,20.3,0.0%,2020,RB,Full
94,Alex Collins,FA,18,77,4.3,13,0,2,1,2,4,4.0,0,0,3,20.1,6.7,19.0%,2020,RB,Full
95,Dare Ogunbowale,HOU,32,145,4.5,25,1,0,10,20,54,5.4,0,0,14,19.9,1.4,1.0%,2020,RB,Full
96,Ke'Shawn Vaughn,FA,26,109,4.2,19,0,0,5,10,34,6.8,1,1,10,18.3,1.8,0.1%,2020,RB,Full
97,D'Ernest Johnson,JAC,33,166,5.0,28,3,0,3,4,14,4.7,0,0,16,18.0,1.1,1.1%,2020,RB,Full
98,C.J. Ham,MIN,5,18,3.6,10,0,0,8,14,97,12.1,1,0,15,17.5,1.2,0.6%,2020,RB,Full
99,Alec Ingold,MIA,3,4,1.3,3,0,0,12,17,110,9.2,1,0,16,17.4,1.1,0.6%,2020,RB,Full
100,Anthony McFarland Jr.,FA,33,113,3.4,20,1,0,6,10,54,9.0,0,0,11,16.7,1.5,1.1%,2020,RB,Full
101,Trayveon Williams,CIN,26,157,6.0,55,1,0,5,5,30,6.0,0,1,10,16.7,1.7,0.5%,2020,RB,Full
102,D'Onta Foreman,CLE,22,95,4.3,15,0,0,1,1,5,5.0,1,0,6,16.0,2.7,3.4%,2020,RB,Full
103,Corey Clement,FA,21,75,3.6,7,0,1,5,6,25,5.0,0,0,15,16.0,1.1,0.0%,2020,RB,Full
104,Gabe Nabers,FA,2,7,3.5,4,0,0,5,7,25,5.0,2,0,16,15.2,1.0,0.6%,2020,RB,Full
105,T.J. Yeldon,FA,10,70,7.0,34,1,0,1,4,22,22.0,1,0,3,15.2,5.1,0.0%,2020,RB,Full
106,Tyler Ervin,FA,13,67,5.2,21,1,0,11,15,84,7.6,0,0,8,15.1,1.9,0.0%,2020,RB,Full
107,Reggie Bonnafon,FA,12,69,5.8,22,1,0,2,2,18,9.0,1,0,2,14.7,7.4,0.0%,2020,RB,Full
108,Darrynton Evans,CHI,14,54,3.9,9,0,0,2,4,27,13.5,1,0,5,14.1,2.8,0.0%,2020,RB,Full
109,LeSean McCoy,FA,10,31,3.1,14,0,0,15,19,101,6.7,0,0,10,13.2,1.3,2.0%,2020,RB,Full
110,Mike Boone,CAR,11,59,5.4,19,0,1,2,2,10,5.0,0,0,16,12.9,0.8,1.7%,2020,RB,Full
111,Ty Montgomery II,FA,19,101,5.3,36,1,0,3,6,27,9.0,0,0,6,12.8,2.1,0.0%,2020,RB,Full
112,Ryan Nall,FA,3,0,0.0,0,0,0,8,9,67,8.4,1,0,15,12.7,0.8,0.0%,2020,RB,Full
113,DeAndre Washington,FA,31,91,2.9,16,0,0,5,10,30,6.0,0,0,4,12.1,3.0,11.0%,2020,RB,Full
114,Patrick Laird,FA,13,72,5.5,17,0,0,10,12,68,6.8,0,1,16,12.0,0.8,0.0%,2020,RB,Full
115,Troymaine Pope,FA,15,76,5.1,26,1,0,8,10,42,5.3,0,0,6,11.8,2.0,0.0%,2020,RB,Full
116,Tarik Cohen,FA,14,74,5.3,17,0,0,6,9,41,6.8,0,0,3,11.5,3.8,0.0%,2020,RB,Full
117,J.J. Taylor,HOU,23,110,4.8,28,1,0,1,2,4,4.0,0,0,6,11.4,1.9,1.4%,2020,RB,Full
118,Jakob Johnson,FA,0,0,0,0,0,0,8,9,35,4.4,1,0,16,9.5,0.6,0.0%,2020,RB,Full
119,Artavis Pierce,FA,6,34,5.7,23,1,1,0,0,0,0,0,0,5,9.4,1.9,0.0%,2020,RB,Full
120,Saquon Barkley,PHI,19,34,1.8,18,0,0,6,9,60,10.0,0,0,2,9.4,4.7,97.8%,2020,RB,Full
121,Tevin Coleman,FA,28,53,1.9,12,0,0,4,5,34,8.5,0,0,8,8.7,1.1,0.0%,2020,RB,Full
122,Patrick Ricard,BAL,1,-1,-1.0,0,0,0,9,12,45,5.0,1,1,15,8.4,0.6,0.8%,2020,RB,Full
123,Justice Hill,BAL,12,60,5.0,19,0,0,5,5,20,4.0,0,0,12,8.0,0.7,24.4%,2020,RB,Full
124,C.J. Prosise,FA,10,19,1.9,7,0,0,5,5,18,3.6,1,1,10,7.7,0.8,0.0%,2020,RB,Full
125,Reggie Gilliam,BUF,0,0,0,0,0,0,2,2,16,8.0,1,0,14,7.6,0.5,0.0%,2020,RB,Full
126,Jaylen Samuels,FA,9,28,3.1,6,0,0,9,14,46,5.1,0,0,14,7.4,0.5,0.0%,2020,RB,Full
127,Anthony Sherman,FA,3,8,2.7,6,0,0,1,2,5,5.0,1,0,12,7.3,0.6,3.8%,2020,RB,Full
128,Jonathan Ward,PIT,0,0,0,0,0,0,1,1,11,11.0,1,0,14,7.1,0.5,0.0%,2020,RB,Full
