Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Derrick Henry,BAL,26,215,8.3,47,4,2,2,2,7,3.5,0,0,1,34.2,34.2,97.5%,2020,RB,14
2,Jonathan Taylor,IND,20,150,7.5,62,1,2,2,2,15,7.5,0,0,1,28.5,28.5,92.9%,2020,RB,14
3,Miles Sanders,CAR,14,115,8.2,82,1,2,4,5,21,5.3,0,0,1,25.6,25.6,5.1%,2020,RB,14
4,Kareem Hunt,KC,6,33,5.5,10,0,1,6,7,77,12.8,1,0,1,23.0,23.0,48.5%,2020,RB,14
5,Nick Chubb,CLE,17,82,4.8,14,0,2,2,2,21,10.5,0,0,1,22.3,22.3,55.1%,2020,RB,14
6,David Montgomery,DET,11,113,10.3,80,1,1,3,4,42,14.0,0,0,1,21.5,21.5,75.4%,2020,RB,14
7,Mike Davis,FA,11,51,4.6,10,0,2,5,6,42,8.4,0,0,1,21.3,21.3,1.0%,2020,RB,14
8,Cam Akers,MIN,29,171,5.9,35,2,0,2,3,23,11.5,0,0,1,19.4,19.4,14.2%,2020,RB,14
9,Gus Edwards,LAC,7,49,7.0,19,0,2,1,1,4,4.0,0,0,1,17.3,17.3,45.3%,2020,RB,14
10,Dalvin Cook,FA,22,102,4.6,14,0,1,2,4,8,4.0,0,0,1,17.0,17.0,0.9%,2020,RB,14
11,Chris Carson,FA,12,76,6.3,28,1,1,3,5,22,7.3,0,0,1,15.8,15.8,0.3%,2020,RB,14
12,Alvin Kamara,NO,11,50,4.5,16,0,1,7,10,44,6.3,0,0,1,15.4,15.4,87.9%,2020,RB,14
13,Kenyan Drake,FA,23,80,3.5,36,1,1,1,1,10,10.0,0,0,1,15.0,15.0,1.1%,2020,RB,14
14,Austin Ekeler,WAS,15,79,5.3,13,0,0,9,9,67,7.4,0,0,1,14.6,14.6,51.4%,2020,RB,14
15,Ronald Jones II,FA,18,80,4.4,16,0,1,1,2,4,4.0,0,0,1,14.4,14.4,0.0%,2020,RB,14
16,J.K. Dobbins,LAC,13,53,4.1,13,0,1,0,0,0,0,0,0,1,13.3,13.3,74.2%,2020,RB,14
17,D'Andre Swift,CHI,7,24,3.4,5,0,1,4,5,26,6.5,0,0,1,11.0,11.0,83.1%,2020,RB,14
18,Tony Pollard,TEN,11,39,3.5,17,0,0,2,2,9,4.5,1,0,1,10.8,10.8,80.4%,2020,RB,14
19,Melvin Gordon III,FA,13,68,5.2,15,0,0,3,3,23,7.7,0,0,1,9.1,9.1,0.1%,2020,RB,14
20,Clyde Edwards-Helaire,NO,16,32,2.0,12,0,0,5,6,59,11.8,0,0,1,9.1,9.1,7.2%,2020,RB,14
21,J.D. McKissic,FA,11,68,6.2,17,0,0,2,4,18,9.0,0,0,1,8.6,8.6,1.0%,2020,RB,14
22,Jeff Wilson Jr.,MIA,11,31,2.8,11,0,1,1,3,13,13.0,0,1,1,8.4,8.4,0.6%,2020,RB,14
23,James Robinson,FA,12,67,5.6,47,1,0,4,4,16,4.0,0,0,1,8.3,8.3,0.0%,2020,RB,14
24,Kyle Juszczyk,SF,1,3,3.0,3,0,0,2,3,15,7.5,1,0,1,7.8,7.8,1.2%,2020,RB,14
25,Aaron Jones Sr.,MIN,15,69,4.6,11,0,0,2,3,6,3.0,0,0,1,7.5,7.5,91.4%,2020,RB,14
26,Nyheim Hines,FA,7,58,8.3,31,1,0,4,4,17,4.3,0,0,1,7.5,7.5,0.1%,2020,RB,14
27,Josh Jacobs,GB,13,49,3.8,18,0,0,3,5,25,8.3,0,0,1,7.4,7.4,96.3%,2020,RB,14
28,Kerryon Johnson,FA,2,3,1.5,2,0,1,1,1,10,10.0,0,0,1,7.3,7.3,1.3%,2020,RB,14
29,Wayne Gallman Jr.,FA,12,57,4.8,16,0,0,3,4,16,5.3,0,0,1,7.3,7.3,0.0%,2020,RB,14
30,Raheem Mostert,FA,14,65,4.6,14,0,0,2,4,5,2.5,0,0,1,7.0,7.0,42.9%,2020,RB,14
31,Carlos Hyde,FA,15,66,4.4,18,0,0,0,0,0,0,0,0,1,6.6,6.6,0.0%,2020,RB,14
32,Duke Johnson Jr.,FA,8,26,3.3,10,0,0,2,2,53,26.5,0,1,1,5.9,5.9,0.0%,2020,RB,14
33,Ezekiel Elliott,FA,12,48,4.0,26,1,0,2,3,11,5.5,0,0,1,5.9,5.9,20.4%,2020,RB,14
34,Dion Lewis,FA,2,14,7.0,13,0,1,0,0,0,0,0,1,1,5.4,5.4,2.0%,2020,RB,14
35,Chase Edmonds,TB,7,32,4.6,11,0,0,4,5,21,5.3,0,0,1,5.3,5.3,0.1%,2020,RB,14
36,DeAndre Washington,FA,13,35,2.7,7,0,0,2,4,17,8.5,0,0,1,5.2,5.2,11.0%,2020,RB,14
37,Damien Harris,FA,11,50,4.5,12,0,0,1,2,0,0.0,0,0,1,5.0,5.0,9.0%,2020,RB,14
38,Ito Smith,FA,11,42,3.8,8,0,0,1,1,3,3.0,0,0,1,4.5,4.5,1.0%,2020,RB,14
39,Buddy Howell,FA,11,42,3.8,9,0,0,1,2,3,3.0,0,0,1,4.5,4.5,0.0%,2020,RB,14
40,Trayveon Williams,CIN,12,49,4.1,9,0,0,3,3,14,4.7,0,1,1,4.3,4.3,0.5%,2020,RB,14
41,Zack Moss,CIN,13,43,3.3,13,0,0,0,1,0,0,0,0,1,4.3,4.3,33.5%,2020,RB,14
