Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Tyler Conklin,NYJ,6,10,79,13.2,27,1,2,0,0,0,0,1,19.9,19.9,19.2%,2022,TE,8
2,Kyle Pitts,ATL,5,9,80,16.0,33,2,1,0,0,0,0,1,14.0,14.0,73.0%,2022,TE,8
3,Isaiah Likely,BAL,6,7,77,12.8,17,0,1,0,0,0,0,1,13.7,13.7,34.2%,2022,TE,8
4,Evan Engram,JAC,4,6,55,13.8,22,1,1,0,0,0,0,1,11.5,11.5,57.4%,2022,TE,8
5,George Kittle,SF,3,5,39,13.0,23,1,1,0,0,0,0,1,9.9,9.9,91.9%,2022,TE,8
6,Mike Gesicki,CIN,3,4,38,12.7,20,1,1,0,0,0,0,1,9.8,9.8,29.2%,2022,TE,8
7,Zach Ertz,WAS,4,5,34,8.5,13,0,1,0,0,0,0,1,9.4,9.4,57.5%,2022,TE,8
8,Greg Dulcich,NYG,4,5,87,21.8,38,2,0,0,0,0,0,1,8.7,8.7,4.7%,2022,TE,8
9,T.J. Hockenson,MIN,3,4,80,26.7,58,1,0,0,0,0,0,1,8.0,8.0,83.0%,2022,TE,8
10,Dalton Schultz,HOU,6,7,74,12.3,30,1,0,0,0,0,0,1,7.4,7.4,54.4%,2022,TE,8
11,Taysom Hill,NO,1,2,11,11.0,11,0,0,10,61,0,0,1,7.3,7.3,27.7%,2022,TE,8
12,Cole Kmet,CHI,2,2,11,5.5,10,0,1,0,0,0,0,1,7.1,7.1,42.7%,2022,TE,8
13,Dawson Knox,BUF,2,3,10,5.0,9,0,1,0,0,0,0,1,7.0,7.0,11.4%,2022,TE,8
14,Dallas Goedert,PHI,6,6,64,10.7,17,0,0,0,0,0,0,1,6.4,6.4,57.2%,2022,TE,8
15,Jake Ferguson,DAL,1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1,67.5%,2022,TE,8
16,Johnny Mundt,MIN,1,1,1,1.0,1,0,1,0,0,0,0,1,6.1,6.1,0.6%,2022,TE,8
17,Tanner Hudson,CIN,3,5,58,19.3,27,1,0,0,0,0,0,1,5.8,5.8,1.1%,2022,TE,8
18,Pat Freiermuth,PIT,4,7,57,14.3,21,1,0,0,0,0,0,1,5.7,5.7,63.9%,2022,TE,8
19,Ross Dwelley,ATL,1,1,56,56.0,56,1,0,0,0,0,0,1,5.6,5.6,0.0%,2022,TE,8
20,Hayden Hurst,LAC,4,4,42,10.5,21,1,0,0,0,0,0,1,4.2,4.2,2.7%,2022,TE,8
21,Robert Tonyan,FA,5,6,35,7.0,15,0,0,0,0,0,0,1,3.5,3.5,0.0%,2022,TE,8
22,Stephen Sullivan,CAR,1,2,33,33.0,33,1,0,0,0,0,0,1,3.3,3.3,0.0%,2022,TE,8
23,Mark Andrews,BAL,3,5,33,11.0,22,1,0,0,0,0,0,1,3.3,3.3,89.5%,2022,TE,8
24,Foster Moreau,NO,6,9,31,5.2,12,0,0,0,0,0,0,1,3.1,3.1,2.4%,2022,TE,8
25,Irv Smith Jr.,HOU,4,4,28,7.0,11,0,0,0,0,0,0,1,2.8,2.8,0.0%,2022,TE,8
26,C.J. Uzomah,PHI,1,1,27,27.0,27,1,0,0,0,0,0,1,2.7,2.7,0.0%,2022,TE,8
27,O.J. Howard,FA,2,3,24,12.0,24,1,0,0,0,0,0,1,2.4,2.4,0.0%,2022,TE,8
28,Hunter Henry,NE,1,1,22,22.0,22,1,0,0,0,0,0,1,2.2,2.2,53.6%,2022,TE,8
29,Brevin Jordan,HOU,2,5,19,9.5,16,0,0,0,0,0,0,1,1.9,1.9,0.7%,2022,TE,8
30,Noah Fant,SEA,2,2,19,9.5,16,0,0,0,0,0,0,1,1.9,1.9,21.1%,2022,TE,8
31,Tommy Tremble,CAR,2,4,17,8.5,9,0,0,0,0,0,0,1,1.7,1.7,1.4%,2022,TE,8
32,Peyton Hendershot,KC,2,2,15,7.5,11,0,0,0,0,0,0,1,1.5,1.5,0.1%,2022,TE,8
33,Tyler Higbee,LAR,2,6,15,7.5,10,0,0,0,0,0,0,1,1.5,1.5,9.2%,2022,TE,8
34,Cade Otton,TB,2,5,15,7.5,10,0,0,0,0,0,0,1,1.5,1.5,57.8%,2022,TE,8
35,Juwan Johnson,NO,2,4,14,7.0,8,0,0,0,0,0,0,1,1.4,1.4,19.4%,2022,TE,8
36,James Mitchell,CAR,1,1,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,0.0%,2022,TE,8
37,Armani Rogers,BUF,1,2,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,1.0%,2022,TE,8
38,Will Dissly,LAC,2,2,12,6.0,9,0,0,0,0,0,0,1,1.2,1.2,22.8%,2022,TE,8
39,Kylen Granson,IND,3,3,11,3.7,15,0,0,0,0,0,0,1,1.1,1.1,1.2%,2022,TE,8
40,Chris Myarick,FA,1,1,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.0%,2022,TE,8
41,Jonnu Smith,MIA,3,4,10,3.3,7,0,0,0,0,0,0,1,1.0,1.0,77.6%,2022,TE,8
42,Josiah Deguara,JAC,1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.0%,2022,TE,8
43,Parker Hesse,FA,1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.0%,2022,TE,8
44,Ko Kieft,TB,1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.0%,2022,TE,8
45,Dan Arnold,FA,1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.0%,2022,TE,8
46,Nick Vannett,TEN,1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.0%,2022,TE,8
47,John Bates,WAS,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,1.1%,2022,TE,8
48,Tyler Kroft,FA,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0%,2022,TE,8
49,Brock Wright,DET,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,1.9%,2022,TE,8
50,Austin Hooper,NE,1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,1.9%,2022,TE,8
51,Jordan Akins,CLE,1,2,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,1.2%,2022,TE,8
52,Colby Parkinson,LAR,1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,9.6%,2022,TE,8
53,Josh Oliver,MIN,1,1,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,1.4%,2022,TE,8
54,Zach Gentry,FA,1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.0%,2022,TE,8
