Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
1,Ja'Marr Chase,CIN,127,175,"1,708",13.4,70,19,17,3,32,0,0,17,276.0,16.2,94.0%,2024,WR,Full
2,Justin Jefferson,MIN,103,154,"1,533",14.9,97,28,10,1,3,0,0,17,214.5,12.6,98.3%,2024,WR,Full
3,Amon-Ra St. Brown,DET,115,141,"1,263",11.0,66,14,12,2,6,0,1,17,201.2,11.8,97.2%,2024,WR,Full
4,Brian Thomas Jr.,JAC,87,133,"1,282",14.7,85,18,10,6,48,0,0,17,197.0,11.6,86.3%,2024,WR,Full
5,Terry McLaurin,WAS,82,117,"1,096",13.4,86,12,13,2,2,0,1,17,185.8,10.9,91.3%,2024,WR,Full
6,Drake London,ATL,100,158,"1,271",12.7,39,12,9,1,-3,0,0,17,180.8,10.6,91.6%,2024,WR,Full
7,Mike Evans,TB,74,110,"1,004",13.6,57,15,11,0,0,0,0,14,166.4,11.9,94.8%,2024,WR,Full
8,Malik Nabers,NYG,109,170,"1,204",11.0,59,16,7,5,2,0,0,15,164.6,11.0,90.2%,2024,WR,Full
9,CeeDee Lamb,DAL,101,152,"1,194",11.8,65,16,6,14,70,0,1,15,162.4,10.8,87.2%,2024,WR,Full
10,Courtland Sutton,DEN,81,135,"1,081",13.3,47,17,8,0,0,0,1,17,159.3,9.4,84.6%,2024,WR,Full
11,Ladd McConkey,LAC,82,112,"1,149",14.0,60,15,7,0,0,0,0,16,158.9,9.9,85.2%,2024,WR,Full
12,Davante Adams,FA,85,141,"1,063",12.5,71,16,8,0,0,0,0,14,156.3,11.2,91.0%,2024,WR,Full
13,Jameson Williams,DET,58,91,"1,001",17.3,82,17,7,11,61,1,0,15,154.2,10.3,80.0%,2024,WR,Full
14,Jaxon Smith-Njigba,SEA,100,137,"1,130",11.3,46,14,6,5,26,0,0,17,153.0,9.0,85.4%,2024,WR,Full
15,Garrett Wilson,NYJ,101,154,"1,104",10.9,42,16,7,2,5,0,2,17,150.9,8.9,91.1%,2024,WR,Full
16,Jerry Jeudy,CLE,90,145,"1,229",13.7,89,13,4,0,0,0,0,17,150.9,8.9,72.7%,2024,WR,Full
17,A.J. Brown,PHI,67,97,"1,079",16.1,67,17,7,0,0,0,0,13,149.9,11.5,96.7%,2024,WR,Full
18,Jordan Addison,MIN,63,99,875,13.9,69,13,9,3,20,1,0,15,149.5,10.0,85.1%,2024,WR,Full
19,Tee Higgins,CIN,73,109,911,12.5,42,12,10,0,0,0,1,12,149.1,12.4,87.7%,2024,WR,Full
20,Nico Collins,HOU,68,99,"1,006",14.8,67,14,7,0,0,0,0,12,142.6,11.9,95.3%,2024,WR,Full
21,Jayden Reed,GB,55,75,857,15.6,70,15,6,20,163,1,1,17,142.0,8.4,82.1%,2024,WR,Full
22,DJ Moore,CHI,98,140,966,9.9,44,11,6,14,75,0,1,17,140.1,8.2,86.7%,2024,WR,Full
23,Tyreek Hill,MIA,81,123,959,11.8,80,13,6,8,53,0,0,17,137.2,8.1,92.8%,2024,WR,Full
24,Zay Flowers,BAL,74,116,"1,059",14.3,53,19,4,9,56,0,0,17,135.5,8.0,90.3%,2024,WR,Full
25,Calvin Ridley,TEN,64,120,"1,017",15.9,63,19,4,8,55,1,1,17,135.2,8.0,77.8%,2024,WR,Full
26,Marvin Harrison Jr.,ARI,62,116,885,14.3,60,14,8,0,0,0,1,17,134.5,7.9,88.9%,2024,WR,Full
27,Jauan Jennings,SF,77,113,975,12.7,45,12,6,0,0,0,0,15,133.5,8.9,70.3%,2024,WR,Full
28,DeVonta Smith,PHI,68,89,833,12.3,49,14,8,1,1,0,0,13,131.4,10.1,89.2%,2024,WR,Full
29,Jakobi Meyers,LV,87,129,"1,027",11.8,43,16,4,2,23,0,0,15,131.0,8.7,72.7%,2024,WR,Full
30,Rashod Bateman,BAL,45,72,756,16.8,59,11,9,0,0,0,0,17,129.6,7.6,35.3%,2024,WR,Full
31,Darnell Mooney,ATL,64,106,992,15.5,49,21,5,0,0,0,0,16,129.2,8.1,67.9%,2024,WR,Full
32,Xavier Worthy,KC,59,98,638,10.8,54,4,6,20,104,3,0,17,128.2,7.5,78.2%,2024,WR,Full
33,Puka Nacua,LAR,79,106,990,12.5,51,11,3,11,46,1,0,11,127.6,11.6,95.5%,2024,WR,Full
